ref,traded,session,bars,spread_mean,spread_std,abs_spread_mean,abs_spread_median,abs_spread_p75,abs_spread_p90,freq_dz1.0,freq_dz1.5,freq_dz2.0,freq_dz2.5,freq_dz3.0,freq_dz3.5,edge_dz1.0_f1,wr_dz1.0_f1,n_dz1.0_f1,hedge_edge_dz1.0_f1,hedge_wr_dz1.0_f1,hedge_n_dz1.0_f1,edge_dz1.0_f2,wr_dz1.0_f2,n_dz1.0_f2,hedge_edge_dz1.0_f2,hedge_wr_dz1.0_f2,hedge_n_dz1.0_f2,edge_dz1.0_f3,wr_dz1.0_f3,n_dz1.0_f3,hedge_edge_dz1.0_f3,hedge_wr_dz1.0_f3,hedge_n_dz1.0_f3,edge_dz1.5_f1,wr_dz1.5_f1,n_dz1.5_f1,hedge_edge_dz1.5_f1,hedge_wr_dz1.5_f1,hedge_n_dz1.5_f1,edge_dz1.5_f2,wr_dz1.5_f2,n_dz1.5_f2,hedge_edge_dz1.5_f2,hedge_wr_dz1.5_f2,hedge_n_dz1.5_f2,edge_dz1.5_f3,wr_dz1.5_f3,n_dz1.5_f3,hedge_edge_dz1.5_f3,hedge_wr_dz1.5_f3,hedge_n_dz1.5_f3,edge_dz2.0_f1,wr_dz2.0_f1,n_dz2.0_f1,hedge_edge_dz2.0_f1,hedge_wr_dz2.0_f1,hedge_n_dz2.0_f1,edge_dz2.0_f2,wr_dz2.0_f2,n_dz2.0_f2,hedge_edge_dz2.0_f2,hedge_wr_dz2.0_f2,hedge_n_dz2.0_f2,edge_dz2.0_f3,wr_dz2.0_f3,n_dz2.0_f3,hedge_edge_dz2.0_f3,hedge_wr_dz2.0_f3,hedge_n_dz2.0_f3,edge_dz2.5_f1,wr_dz2.5_f1,n_dz2.5_f1,hedge_edge_dz2.5_f1,hedge_wr_dz2.5_f1,hedge_n_dz2.5_f1,edge_dz2.5_f2,wr_dz2.5_f2,n_dz2.5_f2,hedge_edge_dz2.5_f2,hedge_wr_dz2.5_f2,hedge_n_dz2.5_f2,edge_dz2.5_f3,wr_dz2.5_f3,n_dz2.5_f3,hedge_edge_dz2.5_f3,hedge_wr_dz2.5_f3,hedge_n_dz2.5_f3,edge_dz3.0_f1,wr_dz3.0_f1,n_dz3.0_f1,hedge_edge_dz3.0_f1,hedge_wr_dz3.0_f1,hedge_n_dz3.0_f1,edge_dz3.0_f2,wr_dz3.0_f2,n_dz3.0_f2,hedge_edge_dz3.0_f2,hedge_wr_dz3.0_f2,hedge_n_dz3.0_f2,edge_dz3.0_f3,wr_dz3.0_f3,n_dz3.0_f3,hedge_edge_dz3.0_f3,hedge_wr_dz3.0_f3,hedge_n_dz3.0_f3,edge_dz3.5_f1,wr_dz3.5_f1,n_dz3.5_f1,hedge_edge_dz3.5_f1,hedge_wr_dz3.5_f1,hedge_n_dz3.5_f1,edge_dz3.5_f2,wr_dz3.5_f2,n_dz3.5_f2,hedge_edge_dz3.5_f2,hedge_wr_dz3.5_f2,hedge_n_dz3.5_f2,edge_dz3.5_f3,wr_dz3.5_f3,n_dz3.5_f3,hedge_edge_dz3.5_f3,hedge_wr_dz3.5_f3,hedge_n_dz3.5_f3
XAUUSD,TLT,NY,1478,0.437703,2.542524,2.062045,1.746379,2.986044,4.250549,70.162382,56.427605,43.707713,33.761840,24.898512,18.741543,-0.008939,49.083896,1037,-0.009404,50.626808,1037,-0.017662,48.891032,1037,-0.009084,50.530376,1037,-0.046872,47.155256,1037,-0.013969,50.144648,1037,-0.030941,48.800959,834,-0.005077,50.239808,834,-0.051934,48.201439,834,-0.012180,50.479616,834,-0.082833,45.923261,834,-0.026928,50.599520,834,-0.027546,48.297214,646,0.010194,50.619195,646,-0.056620,48.452012,646,0.002710,50.464396,646,-0.068792,46.284830,646,-0.033064,50.154799,646,-0.054301,47.294589,499,0.024794,51.302605,499,-0.084517,47.294589,499,0.015368,50.300601,499,-0.120330,44.689379,499,0.032606,52.104208,499,-0.084350,46.195652,368,0.044089,52.717391,368,-0.106431,46.195652,368,0.023475,51.902174,368,-0.154315,45.652174,368,0.056430,52.717391,368,-0.084052,45.126354,277,0.078670,52.707581,277,-0.087712,47.292419,277,0.080582,52.707581,277,-0.146459,46.209386,277,0.147360,52.707581,277
SP500,TLT,NY,1476,0.516666,2.802022,2.237996,1.822553,3.185820,4.635606,72.222222,59.146341,45.392954,36.720867,28.048780,20.325203,-0.021581,47.230047,1065,0.083656,51.079812,1065,-0.040264,48.450704,1065,0.145502,52.300469,1065,-0.067478,46.291080,1065,0.228940,52.112676,1065,-0.043590,46.788991,872,0.123800,51.490826,872,-0.060232,47.133028,872,0.168275,52.752294,872,-0.081536,45.527523,872,0.251580,52.064220,872,-0.048658,46.865672,670,0.155658,51.641791,670,-0.061407,46.865672,670,0.229638,52.835821,670,-0.065763,46.119403,670,0.266835,52.985075,670,-0.047173,45.756458,542,0.176591,52.767528,542,-0.047467,46.678967,542,0.217314,51.660517,542,-0.038608,46.309963,542,0.209335,52.029520,542,-0.091512,43.478261,414,0.210911,53.140097,414,-0.058684,45.893720,414,0.232920,51.449275,414,-0.040424,46.618357,414,0.212727,51.207729,414,-0.079231,43.666667,300,0.143171,52.666667,300,-0.034094,46.333333,300,0.108892,49.333333,300,-0.073569,45.666667,300,0.179337,50.666667,300
TLT,SP500,NY,1476,-0.516666,2.802022,2.237996,1.822553,3.185820,4.635606,72.222222,59.146341,45.392954,36.720867,28.048780,20.325203,-0.062075,48.544601,1065,0.083656,51.079812,1065,-0.105237,47.230047,1065,0.145502,52.300469,1065,-0.161462,47.230047,1065,0.228940,52.112676,1065,-0.080210,47.821101,872,0.123800,51.490826,872,-0.108043,47.018349,872,0.168275,52.752294,872,-0.170044,47.362385,872,0.251580,52.064220,872,-0.107000,48.656716,670,0.155658,51.641791,670,-0.168231,45.671642,670,0.229638,52.835821,670,-0.201072,47.313433,670,0.266835,52.985075,670,-0.129418,47.785978,542,0.176591,52.767528,542,-0.169847,46.309963,542,0.217314,51.660517,542,-0.170727,47.970480,542,0.209335,52.029520,542,-0.119399,47.826087,414,0.210911,53.140097,414,-0.174236,46.618357,414,0.232920,51.449275,414,-0.172303,48.309179,414,0.212727,51.207729,414,-0.063940,49.666667,300,0.143171,52.666667,300,-0.074798,48.333333,300,0.108892,49.333333,300,-0.105768,49.333333,300,0.179337,50.666667,300
NDX,TLT,NY,1478,0.525345,2.797555,2.254622,1.839784,3.206040,4.641983,73.274696,58.998647,46.414073,36.468200,28.484438,20.230041,-0.048917,46.210721,1082,0.132888,51.848429,1082,-0.058044,47.227357,1082,0.189885,51.756007,1082,-0.069945,46.303142,1082,0.237300,51.848429,1082,-0.064190,46.559633,872,0.148968,52.408257,872,-0.079610,46.215596,872,0.209963,52.178899,872,-0.089681,45.756881,872,0.231750,51.376147,872,-0.076535,46.647230,686,0.145250,51.749271,686,-0.086603,46.209913,686,0.211800,51.895044,686,-0.102688,45.043732,686,0.258211,51.895044,686,-0.058305,47.309833,539,0.106136,51.391466,539,-0.051289,46.567718,539,0.130545,50.278293,539,-0.057282,46.011132,539,0.140003,49.350649,539,-0.078232,44.893112,421,0.154567,52.731591,421,-0.064120,45.368171,421,0.153709,50.118765,421,-0.048158,44.180523,421,0.180080,50.593824,421,-0.101950,43.478261,299,0.180532,54.849498,299,-0.108260,42.809365,299,0.222673,52.173913,299,-0.122426,42.140468,299,0.200510,52.508361,299
NI225,GDAXI,Tokyo,5543,-0.007223,1.647597,1.263445,0.991548,1.800641,2.724652,49.666246,32.744001,20.331950,12.484214,7.739491,4.510193,-0.012533,48.601526,2753,0.003150,51.907011,2753,0.012851,49.291682,2753,-0.041663,49.509626,2753,0.014439,49.436978,2753,-0.063053,49.436978,2753,-0.020452,47.768595,1815,-0.006569,52.231405,1815,-0.009678,48.815427,1815,-0.060257,49.586777,1815,0.010115,48.925620,1815,-0.086818,48.374656,1815,-0.042229,47.382431,1127,-0.003460,52.440106,1127,-0.059257,47.914818,1127,-0.056682,49.334516,1127,-0.074709,47.737356,1127,-0.070097,47.737356,1127,-0.046925,48.121387,692,-0.005677,51.445087,692,-0.088777,46.242775,692,-0.063851,49.277457,692,-0.059682,47.254335,692,-0.103570,47.976879,692,-0.125577,44.289044,429,0.014896,53.146853,429,-0.153543,45.454545,429,-0.054407,49.650350,429,-0.107679,45.920746,429,-0.114669,48.484848,429,-0.070139,48.400000,250,0.013468,51.200000,250,-0.001178,52.000000,250,-0.142557,45.600000,250,0.100127,52.400000,250,-0.222547,44.400000,250
NI225,GDAXI,London,3182,-0.010703,1.678586,1.293855,1.011414,1.823678,2.806262,50.502828,34.003771,21.244500,13.544940,7.762414,4.462602,0.049236,50.093342,1607,-0.051321,49.844431,1607,0.039849,50.466708,1607,-0.059768,49.035470,1607,0.048801,51.711263,1607,-0.048601,48.350965,1607,0.039688,48.706100,1082,-0.057121,48.798521,1082,0.034317,49.815157,1082,-0.069183,48.151571,1082,0.032995,51.016636,1082,-0.056559,48.151571,1082,0.040058,48.224852,676,-0.060790,48.668639,676,0.051448,50.887574,676,-0.060543,48.520710,676,0.022947,51.183432,676,-0.055264,48.372781,676,0.040313,47.099768,431,-0.056561,48.955916,431,0.072591,50.348028,431,-0.049461,49.419954,431,0.053435,50.116009,431,-0.056348,48.027842,431,0.028732,47.368421,247,-0.034612,48.582996,247,0.101515,51.417004,247,-0.067190,48.987854,247,0.066125,49.797571,247,-0.064835,45.748988,247,0.091294,49.295775,142,-0.064095,45.774648,142,0.201232,54.225352,142,-0.062966,47.183099,142,0.162350,52.816901,142,-0.023060,45.774648,142
NI225,GDAXI,NY,3177,0.011102,1.615696,1.239749,0.976296,1.765840,2.662990,48.914070,31.381807,20.081838,11.772112,7.145105,3.745672,0.014807,50.900901,1554,0.022330,52.187902,1554,0.039558,50.998068,1553,0.030375,50.804894,1553,0.030742,50.676111,1553,0.023307,51.384417,1553,0.015721,51.354062,997,0.029484,52.457372,997,0.055690,52.811245,996,0.018233,50.401606,996,0.065113,52.811245,996,0.013979,50.702811,996,0.027292,51.097179,638,0.055738,52.507837,638,0.102607,54.075235,638,-0.013844,48.902821,638,0.119617,54.388715,638,-0.007788,49.373041,638,0.015103,50.000000,374,0.058068,51.336898,374,0.093636,50.802139,374,-0.032446,47.058824,374,0.110105,51.871658,374,-0.046519,47.593583,374,-0.020176,46.696035,227,0.080961,51.541850,227,0.016375,46.696035,227,0.098439,48.017621,227,0.057739,50.220264,227,0.025868,49.779736,227,-0.066869,43.697479,119,0.122365,54.621849,119,0.038685,49.579832,119,0.114998,44.537815,119,0.018480,52.100840,119,0.101618,51.260504,119
UK100,NI225,Tokyo,6156,-0.086276,1.877548,1.448500,1.160034,2.028673,3.113392,55.701754,38.466537,25.617284,16.715400,10.997401,6.838856,0.007561,46.952464,3429,0.018149,50.947798,3429,0.054716,49.460484,3429,-0.029769,48.498104,3429,0.076161,50.627005,3429,-0.050822,47.739866,3429,0.021065,47.761824,2368,0.014199,50.760135,2368,0.066797,49.239865,2368,-0.037866,48.310811,2368,0.087478,50.168919,2368,-0.062500,47.255068,2368,0.035463,47.685479,1577,0.014049,50.982879,1577,0.120452,49.778060,1577,-0.058061,47.748890,1577,0.148987,51.299937,1577,-0.077731,46.417248,1577,0.041103,48.396501,1029,0.037577,51.506317,1029,0.144358,50.826045,1029,-0.040316,47.910593,1029,0.196278,52.478134,1029,-0.084745,45.578231,1029,0.054108,46.971935,677,0.057671,51.403250,677,0.193160,51.403250,677,-0.054172,47.119645,677,0.241561,53.175775,677,-0.066207,45.790251,677,0.100362,48.931116,421,0.056525,50.831354,421,0.317368,53.919240,421,-0.114985,44.655582,421,0.366089,54.869359,421,-0.118483,43.230404,421
UK100,NI225,London,3302,-0.075765,1.878103,1.449697,1.148650,2.024406,3.093817,55.663234,39.309509,25.772259,17.383404,11.265899,6.753483,-0.008055,49.075082,1838,-0.035627,49.238303,1838,0.001630,49.619151,1838,-0.040772,49.292709,1838,-0.004166,47.878128,1838,-0.029474,49.727965,1838,0.015634,50.693374,1298,-0.046145,49.075501,1298,0.028702,51.309707,1298,-0.046996,48.151002,1298,0.021359,48.151002,1298,-0.029012,49.922958,1298,0.019030,50.646298,851,-0.052530,49.118684,851,0.028186,52.291422,851,-0.032532,48.883666,851,0.010949,48.296122,851,0.006600,51.468860,851,0.006658,49.651568,574,-0.038099,49.651568,574,0.025577,52.090592,574,-0.012701,49.303136,574,-0.016631,48.083624,574,0.045103,53.484321,574,0.038699,50.268817,372,-0.068533,47.311828,372,0.064679,52.956989,372,-0.033275,47.580645,372,0.046191,48.924731,372,0.031392,52.419355,372,0.033433,49.775785,223,-0.097791,47.085202,223,0.038734,51.121076,223,-0.066029,48.430493,223,0.052878,47.982063,223,-0.029500,52.017937,223
UK100,NI225,NY,3307,-0.112229,1.818742,1.403434,1.095840,2.000215,2.995384,54.157847,36.468098,25.007560,16.208044,9.978833,6.047777,-0.019614,44.723618,1791,0.027758,51.758794,1791,-0.002777,48.994413,1790,-0.018284,48.715084,1790,0.015653,48.379888,1790,-0.049081,48.659218,1790,-0.015723,44.693201,1206,0.036242,51.990050,1206,0.015837,49.460581,1205,-0.009770,48.464730,1205,0.062306,48.464730,1205,-0.071102,48.547718,1205,-0.027618,42.563482,827,0.052402,52.116082,827,0.045973,50.968523,826,-0.032710,46.610169,826,0.139346,50.484262,826,-0.115488,47.094431,826,-0.063564,40.298507,536,0.080812,52.611940,536,0.009201,48.971963,535,-0.012838,46.355140,535,0.140265,49.345794,535,-0.131262,46.728972,535,-0.072676,38.484848,330,0.074920,53.636364,330,0.008323,49.240122,329,-0.003369,46.504559,329,0.226599,49.240122,329,-0.161133,45.896657,329,-0.052723,37.500000,200,0.057351,52.500000,200,-0.003718,47.500000,200,0.030539,45.500000,200,0.109248,47.500000,200,-0.089210,47.000000,200
